City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1720007696
330,broken hill,-31.95,141.4333,10.04,66,36,4.79,AU,1720007697
331,dullewala,31.8359,71.4362,47.79,16,0,4.6,PK,1720007698
332,uglegorsk,49.0833,142.0333,16.37,84,12,0.54,RU,1720007700
333,aras-asan,8.8908,126.3033,27.55,79,7,1.38,PH,1720007495
334,mont-dore,-22.2833,166.5833,23.89,99,86,0.89,NC,1720007707
335,colonia menno,-22.3667,-59.8167,21.37,44,0,3.25,PY,1720007708
336,bel ombre,-4.6167,55.4167,28.91,70,20,5.14,SC,1720007555
337,razole,16.4833,81.8333,31.07,67,95,2.52,IN,1720007711
338,amos,48.5669,-78.1162,13.99,95,100,3.41,CA,1720007712
339,ola,59.5833,151.2833,11.32,87,66,1.33,RU,1720007714
340,blackfoot,43.1905,-112.345,13.82,51,0,3.1,US,1720007715
341,tidjikja,18.5564,-11.4271,35.58,23,3,9.94,MR,1720007716
342,kamaishi,39.2667,141.8833,19.02,97,100,0.24,JP,1720007510
343,onguday,50.75,86.15,18.17,70,92,0.75,RU,1720007718
344,fiambala,-27.6871,-67.6149,10.18,15,0,0.76,AR,1720007721
345,island harbour,50.724,-1.2758,19.46,78,99,3.13,GB,1720007731
346,itoman,26.1247,127.6694,30.01,82,20,4.12,JP,1720007732
347,la ronge,55.1001,-105.2842,15.14,77,40,3.09,CA,1720007734
348,cidreira,-30.1811,-50.2056,14.9,94,58,4.9,BR,1720007542
349,porto belo,-27.1578,-48.5531,16.2,100,0,4.07,BR,1720007743
350,portland,45.5234,-122.6762,12.3,88,1,0.45,US,1720007745
351,san jose de feliciano,-30.3845,-58.7517,10.44,80,17,4.09,AR,1720007746
352,talas,38.6908,35.5538,31.37,17,0,2.06,TR,1720007747
353,iskateley,67.6803,53.1512,20.29,55,91,9.49,RU,1720007748
354,meadville,41.6414,-80.1515,22.21,72,42,0.89,US,1720007750
355,arno,60.1167,18.6333,15.44,89,100,1.68,SE,1720007751
356,howard springs,-12.497,131.047,22.95,72,39,4.3,AU,1720007752
357,porto novo,6.4965,2.6036,25.9,88,100,4.33,BJ,1720007753
358,port blair,11.6667,92.75,26.02,94,100,2.57,IN,1720007754
359,lower hutt,-41.2167,174.9167,9.06,78,100,10.29,NZ,1720007756
360,qulsary,46.9531,54.0198,35.09,18,21,3.56,KZ,1720007638
361,dhaulpur,26.7,77.9,31.54,65,100,6.97,IN,1720007502
362,kongsvinger,60.1905,11.9977,19.14,41,92,0.41,NO,1720007759
363,mil'kovo,55.6078,37.7956,33.08,41,41,5.96,RU,1720007763
364,jau,-22.2964,-48.5578,19.95,44,0,1.12,BR,1720007764
365,danjiangkou,32.5428,111.5086,25.36,91,100,0.49,CN,1720007765
